source_object_type	source_object	source_field	target_object_type	target_object	target_field	relationship	line_no	line_relation_seq	line_content	confidence
PROCEDURE	RPT.PR_TEST_DEMO		PROCEDURE	RPT.PR_TEST_DEMO		CREATE_PROCEDURE	1	0	CREATE PROCEDURE RPT.PR_TEST_DEMO	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'ARG'	VARIABLE	RPT.PR_TEST_DEMO	lv_msg_category	VARIABLE_SET_MAP	14	0	    DECLARE lv_msg_category            VARCHAR(30)  DEFAULT 'ARG';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'RPT.PR_TEST_DEMO'	VARIABLE	RPT.PR_TEST_DEMO	lv_procedure_name	VARIABLE_SET_MAP	15	0	    DECLARE lv_procedure_name          VARCHAR(100) DEFAULT 'RPT.PR_TEST_DEMO';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'00000'	VARIABLE	RPT.PR_TEST_DEMO	lv_sqlstate	VARIABLE_SET_MAP	19	0	    DECLARE lv_sqlstate                CHAR(5) DEFAULT '00000';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'STO'	VARIABLE	RPT.PR_TEST_DEMO	lv_source_system	VARIABLE_SET_MAP	22	0	    DECLARE lv_source_system           VARCHAR(10) DEFAULT 'STO';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'START'	VARIABLE	RPT.PR_TEST_DEMO	lv_process_status	VARIABLE_SET_MAP	23	0	    DECLARE lv_process_status          VARCHAR(20) DEFAULT 'START';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	lv_row_count	VARIABLE_SET_MAP	25	0	    DECLARE lv_row_count               INTEGER DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	lv_insert_count	VARIABLE_SET_MAP	26	0	    DECLARE lv_insert_count            INTEGER DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	lv_update_count	VARIABLE_SET_MAP	27	0	    DECLARE lv_update_count            INTEGER DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	lv_merge_count	VARIABLE_SET_MAP	28	0	    DECLARE lv_merge_count             INTEGER DEFAULT 0;	PARSER
